product_name,brands,pnns_groups_1,pnns_groups_2,energy-kcal_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,proteins_100g,nutriscore_grade,nova_group,environmental_score_grade,unique_scans_n
Biscotti Avena Cacao,Germinal,Sugary snacks,Biscuits and cakes,449.0,26.0,16.0,3.5,0.52,5.0,7.7,d,4,b,2
Tartelettes Myrtilles,"GERMINAL Bio, Gaia",Sugary snacks,Biscuits and cakes,387.0,27.0,10.0,2.0,0.53,1.5,5.6,d,4,a,15
Oat Biscuits,Germinal,Sugary snacks,Biscuits and cakes,442.0,18.0,15.0,2.4,0.6,6.8,8.4,c,4,a,21
Biscuit Fourré Fruits Rouges,Germinal,Sugary snacks,Biscuits and cakes,389.0,32.0,12.0,3.2000000476837,1.55,1.6,3.5,e,4,b,1
Biscuits Crème de cacao,Germinal,Sugary snacks,Biscuits and cakes,477.0,34.0,22.0,4.0,0.75,3.5,5.0,e,4,b,7
Tartelettes epeautre et FR,Germinal,Sugary snacks,Biscuits and cakes,415.0,24.0,15.0,7.8,0.5,3.35,5.4,e,4,c,4
Barre myrtilles avec épeautre,Germinal,unknown,unknown,355.0,29.0,10.0,4.8,0.65,0.67,4.5,unknown,4,unknown,2
Barres fourrées à base de farine de blé,Germinal,Sugary snacks,Biscuits and cakes,397.0,24.0,11.0,5.2,0.68,2.0,5.5,d,4,b,1
Barres quinoa fourrées au chocolat,Germinal,Sugary snacks,Biscuits and cakes,483.0,29.0,22.0,6.5,0.55,4.4,5.0,e,4,unknown,12
Moelleux agrumes citrus,Germinal,Sugary snacks,Biscuits and cakes,408.0,32.0,16.0,3.0,0.625,1.5,6.3,e,4,unknown,1
Biscuits pour bébés,Germinal,Sugary snacks,Biscuits and cakes,412.0,16.0,12.0,3.0,0.15,3.0,8.5,not-applicable,4,c,2
Fruits et Graines,Germinal,Sugary snacks,Biscuits and cakes,453.0,15.0,18.0,2.0,0.6,6.8,8.4,c,4,a,4
